principal Component 1,Principal Component 2,Predicted Label,Actual Label
-0.0022958983862596347,-0.00010795507720811563,3,3
-0.0023074651537621565,-0.00013140180419735992,3,3
-0.00128017430182577,-0.0001616821535058656,3,3
-0.002296925315758221,-0.0002454278729012071,3,3
-0.002302914589585543,-0.00014691472748517,3,3
-0.0022977324579277606,-8.778309549578634e-05,1,3
-0.002214803044184937,0.000934026119416483,0,3
-0.002299985683015497,-5.2512244632339215e-05,3,3
-0.002295296511796247,-0.0001614203787501035,1,3
-0.0022973914391669547,-0.00013051313606795672,3,3
-0.0021755265386214605,0.0008291166783591616,0,3
-0.00042898031674638246,-3.361372258329309e-05,3,3
-0.0023020047494257375,-0.00015443462401431128,3,3
-0.002300593607137714,-0.00013295580117765618,3,3
-0.0022953558449476667,-0.00021239176748112583,3,3
-0.002300867170089156,-0.00017729421946052773,3,3
-0.0018529357938851933,-0.0001614872058940142,1,3
-0.002302569934420225,-0.0001658055620943536,3,3
-0.002296742529165069,-0.0001398166057459001,3,3
0.00015881479275301058,0.0008274290883101348,0,3
-0.0023102228730130883,0.0008813184226730109,0,3
-0.0023010306894223763,-0.00012795390356903197,3,3
-0.002210633453365606,0.0008532764806082852,0,3
-0.0022992108801567113,-8.662145628541715e-05,3,3
-0.0023051084145295077,-0.00016644297418253566,3,3
-0.0023047074299398893,0.000797106377280382,0,3
-0.0022889502755732323,-0.00014160392611462113,1,3
-0.0023135948203911994,0.0008911316494670535,0,3
-0.002177825581022983,0.0009252264473834621,0,3
-0.0023032392985923456,-0.00012992328267671084,3,3
-0.0023014002550136164,-0.00014728311905538624,3,3
-0.0023050674857385297,-0.00010770997191430531,3,3
-0.0022691940267949443,-7.639157571538091e-05,3,3
-0.002306128090485715,-6.520243037963943e-05,3,3
-0.0022566052833264388,-0.0001356795858372196,3,3
-0.0022640503960363254,-0.00012451773665282564,3,3
-0.0022952360359840373,-9.728649927711725e-05,3,3
-0.0022965483381027587,0.00020541721781929204,1,3
-0.002301081602784266,-0.00012863744672278287,3,3
-0.0023270100607991383,-7.350394450195064e-05,4,3
0.0012424298295108068,0.0008421887585026441,0,3
-0.002300527129577246,-0.00011882581756267879,3,3
-0.002294495353524617,-9.79901659892574e-05,1,3
-0.0022994450044411785,-0.0001439427357657288,3,3
-0.002304196252871668,-0.00012338310361479103,1,3
-0.002299847133741681,-0.0001360774547667956,3,3
0.01267734490659016,2.398834051142688e-05,1,3
-0.0022590204447909415,-0.00013045144660845485,3,3
-0.0022987130751189007,-0.00014621642759731545,3,3
-0.002282837859537602,-7.08662789770385e-05,3,3
-0.0022994611896567136,-0.00012640044712966124,3,3
-0.002303683798926385,-0.00018829552571452096,3,3
-0.002316094852788496,0.0008584444506738583,0,3
-0.002297784141218067,-0.00017524455843495113,3,3
-0.002299389334080981,-0.00014955026522003268,3,3
-0.0022884932066041014,-0.00016341553006797558,1,3
0.001042103472648495,0.0003022929398509428,4,3
-0.002289486010124488,-8.733799030946329e-05,1,3
-0.0005711062948857553,-0.0001485099983650188,3,3
-0.0023045751958343497,-0.0001346923064181447,3,3
-0.002284772319866015,-0.00013699630313675708,1,3
-0.0011411835148618205,-4.2130628702749385e-05,1,3
